horses_lifetime_record_at_todays_distance_starts,horses_lifetime_record_at_todays_distance_wins,horses_lifetime_record_at_todays_distance_places,horses_lifetime_record_at_todays_distance_shows,horses_lifetime_record_at_todays_distance_earnings,horses_lifetime_record_at_todays_track_starts,horses_lifetime_record_at_todays_track_wins,horses_lifetime_record_at_todays_track_places,horses_lifetime_record_at_todays_track_shows,horses_lifetime_record_at_todays_track_earnings
4,0,0,1,10720,1,0,0,0,3240
1,0,1,0,5700,3,1,0,0,21740
1,0,0,0,500,4,0,0,1,10100
0,0,0,0,0,0,0,0,0,0
5,1,2,1,69400,5,0,1,2,19360
4,0,1,1,19920,2,0,0,1,3780
0,0,0,0,0,1,0,0,0,1080
0,0,0,0,0,0,0,0,0,0
1,0,0,0,500,6,1,1,0,63760
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1080
0,0,0,0,0,0,0,0,0,0
12,4,2,1,64700,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
9,2,2,0,47120,3,0,1,1,17945
1,0,0,1,6600,2,1,0,0,33500
5,3,1,0,168642,11,5,2,1,259462
1,0,0,0,500,1,0,0,0,500
1,0,0,1,4320,2,0,0,2,8640
0,0,0,0,0,0,0,0,0,0
2,0,0,1,2660,3,0,0,0,1500
6,2,2,0,66960,6,1,0,0,32980
2,0,1,1,72000,1,0,0,1,36000
0,0,0,0,0,0,0,0,0,0
3,0,0,2,18350,5,1,1,1,143680
2,0,0,0,1600,3,0,0,0,4900
1,0,0,0,10500,0,0,0,0,0
7,2,0,0,74196,3,1,0,0,36940
0,0,0,0,0,0,0,0,0,0
2,0,0,2,3360,0,0,0,0,0
30,2,5,5,42795,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
6,3,3,0,122800,8,3,3,1,152300
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
6,1,0,1,41840,18,4,1,4,146560
8,0,2,2,22060,7,0,1,1,16820
1,0,0,0,493,0,0,0,0,0
0,0,0,0,0,1,0,0,0,500
4,0,0,1,3150,0,0,0,0,0
3,1,0,1,8490,0,0,0,0,0
0,0,0,0,0,1,0,0,0,500
5,1,0,1,26780,7,1,2,1,33600
1,1,0,0,18000,10,1,2,3,57740
3,0,1,1,9065,1,0,0,0,500
0,0,0,0,0,4,1,1,0,51760
2,1,1,0,18500,0,0,0,0,0
9,2,0,0,44220,9,3,0,2,77480
0,0,0,0,0,0,0,0,0,0
1,0,0,0,450,0,0,0,0,0
5,2,1,2,169820,9,3,3,3,274420
1,0,0,1,2940,0,0,0,0,0
2,2,0,0,65400,1,1,0,0,32400
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,0,0,0,3000,2,1,0,0,40100
1,0,0,0,500,3,0,0,0,2100
0,0,0,0,0,2,1,0,1,39480
2,1,0,0,51000,1,0,0,0,6000
0,0,0,0,0,0,0,0,0,0
9,3,3,1,32570,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
4,2,0,0,33788,3,1,1,0,15160
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3,0,0,1,5940,7,0,1,1,17140
3,0,0,1,4550,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,500
0,0,0,0,0,1,0,0,0,500
4,0,0,1,3150,0,0,0,0,0
3,1,0,1,8490,0,0,0,0,0
0,0,0,0,0,1,0,0,0,500
5,1,0,1,26780,7,1,2,1,33600
1,1,0,0,18000,10,1,2,3,57740
3,0,1,1,9065,1,0,0,0,500
0,0,0,0,0,4,1,1,0,51760
2,1,1,0,18500,0,0,0,0,0
9,2,0,0,44220,9,3,0,2,77480
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,2,2,0,65780
2,1,1,0,20400,1,0,0,1,7800
7,3,0,2,64292,2,0,0,2,16560
7,2,1,1,65582,1,0,0,0,2000
6,1,0,1,30780,1,0,0,0,3660
3,2,0,0,51500,6,2,0,0,56280
0,0,0,0,0,0,0,0,0,0
1,0,0,1,1500,0,0,0,0,0
1,0,0,0,3900,2,0,0,0,7560
8,8,0,0,280450,1,0,0,0,3000
0,0,0,0,0,0,0,0,0,0
5,2,1,2,52440,2,1,0,1,16800
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,3,0,0,137800
0,0,0,0,0,1,0,0,1,6600
1,0,1,0,10800,1,0,0,1,6480
1,0,0,1,6480,2,0,1,1,17280
10,1,1,0,21490,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
4,2,0,0,33788,3,1,1,0,15160
1,0,0,0,500,3,0,0,1,4330
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3,0,2,0,70000,1,0,1,0,40000
3,1,2,0,58600,6,1,3,0,74120
1,0,0,0,500,0,0,0,0,0
1,0,0,0,500,1,0,0,0,500
0,0,0,0,0,0,0,0,0,0
10,2,2,4,27810,0,0,0,0,0
5,1,0,0,15720,5,1,0,0,15720
0,0,0,0,0,0,0,0,0,0
7,1,3,1,27790,0,0,0,0,0
5,2,1,0,75160,5,2,1,0,75160
2,1,0,1,44400,3,1,0,0,36140
2,0,0,0,6840,1,0,0,0,3600
5,1,1,2,36980,5,1,0,2,28480
7,1,3,2,29146,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,3660
2,1,0,0,9240,0,0,0,0,0
0,0,0,0,0,2,0,0,0,1580
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,0,0,1,9620,0,0,0,0,0
1,0,0,0,500,3,0,0,1,4600
3,0,1,2,13416,0,0,0,0,0
16,4,2,3,112355,0,0,0,0,0
0,0,0,0,0,3,0,2,0,23880
6,2,1,1,16560,0,0,0,0,0
1,0,1,0,30000,3,0,1,0,34160
4,0,1,0,9500,4,1,1,0,27400
5,1,0,2,53380,2,0,0,1,8480
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
6,1,2,0,46100,16,2,5,2,128020
4,0,3,0,11380,0,0,0,0,0
0,0,0,0,0,9,1,1,1,40780
2,0,1,0,22500,5,1,2,2,117240
0,0,0,0,0,1,0,0,0,500
5,2,1,1,95900,9,3,0,1,83960
0,0,0,0,0,0,0,0,0,0
1,0,0,1,2640,2,0,1,1,7160
1,0,0,0,1140,0,0,0,0,0
0,0,0,0,0,3,0,0,0,1500
26,5,7,2,68440,0,0,0,0,0
1,0,0,0,2000,7,2,0,1,83780
2,0,0,0,1580,2,0,0,0,1580
0,0,0,0,0,1,0,0,0,500
2,0,0,0,1100,1,0,0,0,500
0,0,0,0,0,1,0,0,0,500
0,0,0,0,0,1,0,0,0,3600
2,0,0,0,1940,22,3,1,3,73520
9,3,2,2,93688,1,0,0,0,500
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,1,0,17840
1,0,1,0,4400,6,1,2,1,39680
0,0,0,0,0,0,0,0,0,0
3,2,1,0,80400,7,0,2,2,44840
9,1,0,2,60460,10,1,0,2,62120
1,0,0,0,3300,2,0,0,0,3800
0,0,0,0,0,0,0,0,0,0
3,0,1,0,7945,0,0,0,0,0
0,0,0,0,0,1,0,1,0,11000
4,0,0,1,7478,2,0,0,0,3800
7,2,3,0,130800,14,3,4,2,196220
1,0,0,0,500,4,0,1,0,41000
2,1,1,0,219000,0,0,0,0,0
2,1,0,0,60500,4,3,0,1,250200
