field_position,field_name,predictive_feature
1,track,0
2,date,0
3,race_no,0
4,post_position,0
5,entry,0
6,distance_in_yards,0
7,surface,0
8,reserved,0
9,race_type,0
10,age_or_sex_restrictions,0
11,todays_race_classification,0
12,purse,0
13,claiming_price,0
14,claiming_price_of_horse,0
15,track_record,0
16,race_conditions,0
17,todays_lasix_list_see_also_field_no63,0
18,todays_bute_list,0
19,todays_coupled_list,0
20,todays_mutuel_list,0
21,simulcast_host_track_code,0
22,simulcast_host_track_race_no,0
23,breed_type_if_available,0
24,todays_nasal_strip_change,0
25,todays_all-weather_surface_flag,0
26,reserved_for_future_use_26,0
27,reserved_for_future_use_27,0
28,todays_trainer,0
29,trainer_sts_current_meet,0
30,trainer_wins_current_meet,0
31,trainer_places_current_meet,0
32,trainer_shows_cureent_meet,0
33,todays_jockey,0
34,apprentice_wgt_allowif_any,0
35,jockey_sts_current_meet,0
36,jockey_wins_current_meet,0
37,jockey_places_current_meet,0
38,jockey_shows_current_meet,0
39,todays_owner,0
40,owners_silks,0
41,main_track_only_or_ae_indicator,0
42,reserved_for_possible_future_expansion,0
43,program_number_if_available,0
44,morn_line_oddsif_available,0
45,horse_name,0
46,year_of_birth,0
47,horses_foaling_month,0
48,reserved,0
49,sex,0
50,horses_color,0
51,weight,0
52,sire,0
53,sires_sire,0
54,dam,0
55,dams_sire,0
56,breeder,0
57,state_or_country_abrv_where_bred,0
58,program_post_position_if_avail,0
59,blank_fields_reserved_for_possi_59,0
60,blank_fields_reserved_for_possi_60,0
61,blank_fields_reserved_for_possi_61,0
62,todays_medication_w_or_1st_time_lasix_info_see_also_fields_no17_&_no18,0
63,todays_medication_w_or_o_1st_time_lasix_info,0
64,horses_lifetime_record_at_todays_distance_equipment_change,0
65,horses_lifetime_record_at_todays_distance_starts,1
66,horses_lifetime_record_at_todays_distance_wins,1
67,horses_lifetime_record_at_todays_distance_places,1
68,horses_lifetime_record_at_todays_distance_shows,1
69,horses_lifetime_record_at_todays_distance_earnings,1
70,horses_lifetime_record_at_todays_track_starts,1
71,horses_lifetime_record_at_todays_track_wins,1
72,horses_lifetime_record_at_todays_track_places,1
73,horses_lifetime_record_at_todays_track_shows,1
74,horses_lifetime_record_at_todays_track_earnings,1
75,horses_lifetime_turf_record_starts,0
76,horses_lifetime_turf_record_wins,0
77,horses_lifetime_turf_record_places,0
78,horses_lifetime_turf_record_shows,0
79,horses_lifetime_turf_record_earnings,0
80,horses_lifetime_wet_record_starts,0
